DocLabel,Speaker Label,Displayed Speaker Name,Full Speaker Name,First Turn,RangeFrom,RangeTo,Notes,,,,
ls032-1,C,,,,,,,,,,
ls032-2,A,Daniel,,,,,,,,,
ls032-2,B,,,,,,,,,,
ls032-2,C,,,,,,,,,,
ls032-3,A,Daniel,,,,,,,,,
ls032-3,B,,,,,,,,,,
ls032-3,C,,,,,,,,,,
ls033-0,A,Daniel,,,,,,,,,
ls033-0,B,,,,,,,,,,
ls033-0,C,,,,,,,,,,
ls033-1,A,Daniel,,,,,,,,,
ls033-1,B,,,,,,,,,,
ls033-1,C,,,,,,,,,,
ls033-2,A,Daniel,,,,,,,,,
ls033-2,B,,,,,,,,,,
ls033-2,C,,,,,,,,,,
ls034-0,A,Daniel,,,,,,,,,
ls034-0,B,,,,,,,,,,
ls034-0,C,,,,,,,,,,
ls034-1,A,Daniel,,,,,,,,,
ls034-1,B,,,,,,,,,,
ls034-1,C,,,,,,,,,,
ls034-2,A,Daniel,,,,,,,,,
ls034-2,B,,,,,,,,,,
ls034-2,C,,,,,,,,,,
ls035-0,A,Daniel,Daniel Friedman,00:03,,,,,,,
ls035-0,B,Dean,Dean Tickles,,,,,,,,
ls035-0,C,Bleu,Bleu Knight,,,,,,,,
ls035-1,A,Daniel,Daniel Friedman,,,,,,,,
ls035-1,B,Stephen,Stephen Sillett,0,0,0,0,,,,
ls035-1,C,Dean,Dean Tickles,0,0,0,0,,,,
ls035-1,D,Bleu,Bleu Knight,,,,,,,,
ls035-1,E,Dave,Dave Douglass,,,,,,,,
ls035-2,A,Daniel,Daniel Friedman,,,,,,,,
ls035-2,B,Bleu,Bleu Knight,0,0,0,0,,,,
ls035-2,C,Majid,Majid D Beni,0,0,0,0,,,,
ls036-0,A,Daniel,Daniel Friedman,00:26,,,,,,,
ls036-0,B,Bleu,Bleu Knight,02:29,,,,,,,
ls036-0,B,Bleu,Bleu Knight,02:29:00 AM,0,0,0,,,,
ls036-1,A,Daniel,Daniel Friedman,,,,,,,,
ls036-1,B,Dean,Dean Tickles,0,0,0,0,,,,
ls036-1,C,Bleu,Bleu Knight,0,0,0,0,,,,
